"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"35","Ray and stingray and manta","Angola",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"36","Salmon, Sockeye salmon","Angola",1345.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345.64
"37","Tuna","Angola",712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Argentine anchovy, Atlantic sabretooth anchovy","Argentina",879543.0596,1952.44,10754.76,3722.36,2790.34,5612.24,3336.54,2285.2,1699.28,805.98,1846.04,7640.5,11879.14,21703.78,24574.82,18085.96,16366.46,19264.06,24527.46,25036.76,24008.36,25113.64,22857.48,33179.42,22005.94,18018.04,19603.18,19109.18,43740.3,52135.42,52933.64,40533.12,33886.66,36363.22,28585.98,44718.24,33627.56,25800.22,20159.94,21472.28,14367.36,14525.06,9570.82,12190.54,7153.3396
"39","Argentine angelshark, Tope shark","Argentina",3952.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3797.52,131.35,23.27,0,0,0,0,0,0,0,0,0
"40","Argentine croaker, South American silver croaker, Whitemouth croaker","Argentina",578839.82,0,0,0,0,0,0,0,16761,3469,0,0,0,0,0,0,0,0,0,0,15520,19894,21160,14490,8818,7174,6503,5278,11966,12287,22552,28729,30148,24463,37283,28011,35658,35170,40249,35517,27767,28486,17272,19738,24476.82
"41","Argentine hake, Southern hake","Argentina",1171627.5,0,0,0,0,0,0,0,0,0,0,8579.54,4769.42,250.66,671.74,592.2,0,0,0,0,181908,196242,156277.25,136867,103505.25,60415.25,68955,126760.5,54416.25,6022,5070,6845.75,5298.5,17912.04,11157.43,8573.82,7211.15,1506.25,1063.25,719.25,38,0,0,0,0
"42","Atlantic chub mackerel","Argentina",24347.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.96,1008.36,0,0,0,0,0,2481.84,0,0,0,0,0,0,0,6648.22,5928.94,4599.42,2830.86,111.88,0,0,0,0,0
"43","Bigeye tuna, Skipjack tuna, Tuna, Tuna and bonito, Yellowfin tuna","Argentina",369.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Common carp, Grass carp","Argentina",340.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.68,68.45,159.42,0,0,98.84,0,0
"45","Fish","Argentina",1729574.7416,15.96,13587.64,14283.84,13822.44,24203.28,37425.62,10616.1,9384.5,22837,33146,142834.16,166505.41,145544.24,150605.99,167864.64,61470.32,0,0,0,36745.7,43090.84,30803.84,40325,45459.66,55620.76,35835.46,39290.87,52667.35,30609.49,22243.97,34148.77,30005.87,39246.75,34546.75,28647.25,23108.75,15734.6,13900.72,12470.25,11512.15,9898.67,10138.6,9309,10066.5316
"46","Freshwater fish, Marine fish","Argentina",2543127.5722,30060.78,42857.2,54925.23,52663.75,54335.33,48538.96,101018.85,38565.2,1407.47,16701.48,5672.65,1365.99,6536.09,10616.26,17046.15,150976.02,176117.61,263554.79,305485.38,113181.5,115050.92,103460.45,127337.83,94514.54,75396.82,38631.97,53259.73,47973.92,53279.67,43907.77,42420.54,25372.11,44978.01,28463.12,26217.97,14365.84,12139.55,8650.39,10088.7,7144.04,6165.5,5392.07,39715.08,27574.3422
"47","Leporinus, Prochilod, Granulated catfish","Argentina",310432.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379,33674,30867,25885,16848,12246,14814,14354,16948,13210,14189,15782,18271,18289,21079,18817,23780.33
"48","Marine fish","Argentina",610.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.75,0,0,0,0,0,0,0,0,0,0,0,0
"49","Pacific salmons, Atlantic salmon and Danube salmon","Argentina",25474.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2574,1955.44,3873.78,4226.58,4184.98,5273.18,3386.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Patagonian grenadier","Argentina",373779.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.75,26922.75,20944,31228.25,32314.75,38146.5,35394.75,27848.5,16679.5,28323.25,20052.5,20862.5,15150.5,11788.5,13461.25,12688.5,10527,7073.5,3565.25,784.435
"51","Rainbow trout","Argentina",653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,0,0,52,109,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"52","Rainbow trout, Trout and char","Argentina",540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.75,271.25,67.5,23.75,0,31.25,23.75,55,0,3.75,0,0
"53","Salmon, Pacific salmons","Argentina",469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,98,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Sardine and Pilchard","Argentina",124.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Tadpole codling","Argentina",93.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Tadpole codling, Argentine hake, Hake, Southern hake","Argentina",103365.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,82.5,92.5,67.5,14987,11578,12094.5,15649.75,15760.5,10962,12811,9227.89
