,Country,Detailed.production.source,Taxon,Taxon2,Aqua.Cap.items,Mean.Trophic.Level,Total.production,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29,Albania,Capture,Marine fish,Fish,European hake,4.4,14699,0,0,0,0,0,0,0,71,65,83,98,96,67,105,562,238,454,400,300,227,293,185,340,341,330,358,179,384,471,263,280,275,275,336,280,286,899,851,902,914,948,940,872,731
30,Albania,Capture,Freshwater fish,Fish,European perch,4.4,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,111,58,136,20,25,20,21,19,23,36,162,189
31,Albania,"Imports,Capture","Fish,Marine fish",Fish,European pilchard,3.1,50531.98731,0,0,0,0,0,0,0,2503,2071,5050,3411.08,4185.12,3730,2450,112,0,0,0,0,690.26,196,28,28,40,80,600.52,425.86,793.6,1065.12,1738.388879,2119.997443,1771.24,1648.64,743.0989793,652.48,883.1,2498.64,1474,1728.44,1830.412107,2532.446684,1483.758495,1016.372517,951.4122054
32,Albania,"Capture,Aquaculture","Marine fish,Marine fish",Fish,European seabass,3.5,8313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,14,30,30,50,70,64,2,13,43,136,200,258,208,305,265,442,639,744,741,845,1043,1045,1080
33,Albania,Capture,Marine fish,Fish,European sprat,3,197.4610207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,8,4.461020671,0,2,22,28,27,19,20,22,17,20
34,Albania,Imports,Fish,Fish,Euthynnus other than skipjack,4.5,2100.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0,55,67,1,35,44,0,1,0,840,0,190,297,107,137,203,78.41
35,Albania,Imports,Fish,Fish,Fish,3.441211613,3907.877993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.1586415,0,342.1281818,400.11,12.5,197.47,160.74,56.66484395,49.32632573,0,0,0,0,281.21,0,0,168.03,1094.13,905.41,0,0,0,0,0
36,Albania,Imports,Fish,Fish,Flatfish,3.901795953,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,6,0,4,16,18,19,1,9,3,29,66,87,97,43,1,0,22,0,0
37,Albania,Capture,Freshwater fish,Fish,Flathead grey mullet,2.5,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74,105,50,50,65,320,430,560,250,210,150,104,85,178,210,193,205,230,209,217,259
38,Albania,"Imports,Capture","Fish,Freshwater fish",Fish,Freshwater fish,2.911841349,37044.75312,2879,2846,2817,2790,2761,2778,3092,2745,2432,2772,2784,734,863,927,635,317,481,500,440,0,0,0,0,0,21,0,43,99,43,0,0,210,320,508,136.5773722,66.1757469,2,3,0,0,0,0,0,0
