"","Country","Detailed.production.source","Aqua.Cap.items","Mean.Trophic.Level","Taxon","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"35","Albania","Capture","Salmon and trout and char",3.74166666666667,"Freshwater fish",1485,0,0,0,0,0,0,0,0,0,0,0,11,9,6,32,21,17,16,13,11,35,15,102,104,110,56,43,50,66,27,41,58,58,49,29,59,50,51,52,50,52,58,64,70
"36","Albania","Imports","Salmon",4.27000745885248,"Fish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Albania","Capture","Round sardinella",3.4,"Marine fish",142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,42,15,25,0,0,0,6,0,0,0,0,0,0,0,0,0
"38","Albania","Capture","Roach",3,"Freshwater fish",4162,0,0,0,0,0,0,0,0,0,0,0,43,29,48,21,16,8,6,4,0,0,0,0,0,0,0,0,0,95,16,132,105,90,115,114,110,300,320,370,350,400,450,482,538
"39","Albania","Capture","Ray and stingray and manta",4.03333333333333,"Marine fish",2558,0,0,0,0,0,0,0,270,179,141,236,491,429,58,20,10,10,10,15,67,23,24,86,78,85,14,28,16,28,44,51,27,50,32,6,30,0,0,0,0,0,0,0,0
"40","Albania","Capture","Porgy and seabream",3.55,"Marine fish",986,0,0,0,0,0,0,0,68,63,48,78,69,111,107,146,59,82,70,50,3,9,1,0,0,0,1,2,2,4,3,7,0,0,0,3,0,0,0,0,0,0,0,0,0
"41","Albania","Imports","Pilchards Sardinops spp and Sardinellas",2.85718550712962,"Fish",13814.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,175,32,804,538,353,680,509,696,1025,872,990,1569,1590,1534,337,132,151,0,140,147,461,291,385,400.87
"42","Albania","Capture","Pike-perch",4,"Freshwater fish",1017,0,0,0,0,0,0,0,0,0,0,0,0,0,5,171,57,34,25,20,5,10,4,0,0,0,45,30,45,60,55,68,74,55,62,80,55,6,5,7,7,6,5,7,14
"43","Albania","Capture","Picarel",3,"Marine fish",6523,0,0,0,0,0,0,0,1041,620,781,783,590,459,406,1150,133,127,100,50,0,11,0,7,7,10,5,11,59,47,53,4,2,10,0,53,4,0,0,0,0,0,0,0,0
"44","Albania","Imports","Pelagic fish",3.66028643025515,"Fish",737.5382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32,10.64,18.62,13.3,5.32,31.92,63.84,63.84,0,55.86,0,47.88,0,31.92,5.32,34.58,26.6,239.4,83.1782
