"","Aqua.Cap.items","Country","Total.production","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"63","Argentine hake","Argentina",4157370.61,83406.75,103290.25,98123.75,117472.5,84034,59015,82975,84575,60600,82102.25,36488,37346,37398,39022,61171,65932,46083,61802,76174,85200,80636,95131,53487,52134,16477,20701,44353,115355,198454.25,177545.75,186986.25,155809.75,131417,165642.75,161548.5,145228.75,123346.75,132267.5,131153.75,109057.5,116219.5,111260,106744.5,124203.61
"64","Argentine seabass","Argentina",11978.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,8,19,6,92,497,44,0,520,896,517,506,268,540,823,906,1189,959,828,952,721,567,603,194,90,227.05
"65","Atlantic salmon and Danube salmon","Argentina",814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,150,55,53,79,15,10,4,9,5,16,4,14,0,14,5,7,0,0,0,0,0,0,0,0,0,0,0
"66","Bastard halibut","Argentina",13546.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,7,8,60,488,4,23,68,11,0,2,23,18,15,32,57,79,899.5,2866.75,3186,3247,14,0,8,0,0,0,0,0
"67","Carps","Argentina",782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.5,144,259.25,82.25,52.5,156,22.5,0
"68","Cephalopod","Argentina",3691825.07,3221,913,48014,61804,9593,6527,30859,22235,19927,14555,10767.21,34089.27,11706.46,19694.47,19000.29,41114,56325,179660,184029,185308.5,244913.64,305077.28,216203,55839,81617,123400,102631,84554,51801,92846,176432,149429,174566.26,54316.12,54080.36,51725,68443,130283,120040,94536,45913,76759,92660,84418.21
"69","Cod","Argentina",641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,44,75,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Cod and hake and haddock","Argentina",103490.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,82.5,92.5,67.5,15035.75,11639.25,12094.5,15649.75,15775.5,10962,12811,9227.89
"71","Croaker","Argentina",578954.82,0,0,0,0,0,0,0,16761,3469,0,0,0,0,0,0,0,0,0,0,15520,19894,21172,14490,8818,7174,6503,5278,12000,12343,22563,28729,30148,24463,37283,28011,35660,35170,40249,35517,27767,28486,17272,19738,24476.82
"72","Crustacean","Argentina",3022682.12,345.58,177.06,199.76,245.16,251.97,917.92,21100.85,19606.96,21527,12370,11283.59,2343.61,14401.31,13535.9,11122.51,9225.42,20391.54,25581.35,15467,6986.99,8954.43,5646.1845,22923.9728,21934.0432,33028.1829,61807.9719,52699.3631,47949.4428,28207.2345,8118.8251,39959.7968,45519.015,43549.2929,52339.4944,64597.27,79630,158896.72,184604.3,217296.6501,243778.68,321586,367888,372130,332555.77
"73","Fish","Argentina",2826999.0013,30184.78,49691.2,61384.23,61490.75,62030.97,55548.78,111211.67,46746.2,13318.29,21676.3,10031.65,14834.49,16309.84,15284.26,20581.15,162478.02,179302.55,263970.7,306417.45,114123.38,115906.59,104879.32,135684,104901.55,89758.09,53379.86,53808.83,51958.02,62545.87,57398,56762.74,38358.55,51844.97,35671.61,30507.77,23289.17,17422.75,12430.92,12082.17,11012.25,9570.4,8565.62,42930.56,29712.7313
"74","Freshwater fish","Argentina",311367.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379,33774,31048,26237,16908,12353,14836,14354,16972,13234,14189,15782,18271,18289,21079,18865,23797.51
"75","Grenadiers","Argentina",373955.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.75,26922.75,20944,31228.25,32373.75,38177.5,35441.75,27883.5,16679.5,28323.25,20056.5,20862.5,15150.5,11788.5,13461.25,12688.5,10527,7073.5,3565.25,784.435
"76","Hake","Argentina",1177036,0,0,0,0,0,0,0,0,0,0,8579.54,4769.42,250.66,671.74,592.2,0,0,0,0,182180,197148.25,156548.5,137367.25,103832.25,60693,69140.25,126845.5,54442.5,6120.75,5278.5,6940.75,5438,18183.54,11233.68,8797.32,7744.9,1857.5,1175,997.5,166.25,20,21.25,0,0
"77","Mackerel","Argentina",54589.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,2298,3599.66,3304.52,1494.32,830.24,1673.14,3493.18,1057.3,2817,1823,1150,1049,385,288,4196.56,1288.58,7741.48,6261.44,4900,2969.18,598.66,45.58,265.66,451.64,45.92,0
